Validation layer [Verbose] (General) 2022-10-25 17:37:02.0942051: Instance Extension: VK_KHR_get_physical_device_properties2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.2
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0947625: Instance Extension: VK_KHR_get_surface_capabilities2 (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0952994: Instance Extension: VK_KHR_surface (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.25
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0957943: Instance Extension: VK_KHR_surface_protected_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0963697: Instance Extension: VK_KHR_win32_surface (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.6
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0969601: Instance Extension: VK_EXT_debug_report (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.10
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0976218: Instance Extension: VK_EXT_debug_utils (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.2
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0982988: Instance Extension: VK_EXT_direct_mode_display (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0988323: Instance Extension: VK_EXT_swapchain_colorspace (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.4
Validation layer [Verbose] (General) 2022-10-25 17:37:02.0992854: Instance Extension: VK_NV_external_memory_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_733101c735b9e264\.\nvoglv64.dll) version 0.0.1
